step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,source_account,destination_account,graph_score,ring_detected,triangle_cycle_detected,hub_flag,mule_flag,burst_cluster_flag,suspicious_connection_count,shared_counterparties,source_out_degree,destination_in_degree,bridge_flag,destination_repeat_rate,source_repeat_rate,prior_risk_hits,client_id,timestamp,predicted_risk,predicted_probability,anomaly_score,confirmed_label,isFraud
23,DEBIT,1490.13,19922.5,18432.37,14109.75,15599.88,user-8049,merchant-750,0.2,False,False,True,False,False,0,0,2,30,False,0.0,0.0,0,background-stream,2026-03-30T02:40:59.303797,MEDIUM,0.76769,0.143722,,0
19,TRANSFER,9796.64,15147.36,5350.72,15132.97,24929.61,user-2013,merchant-958,0.2,False,False,True,False,False,0,0,4,30,False,0.0,0.0,0,background-stream,2026-03-30T02:41:01.522308,MEDIUM,0.765,0.16219,,0
20,DEBIT,1456.64,10656.84,9200.2,602.37,2059.01,user-6733,merchant-260,0.25,False,False,True,False,False,0,0,0,23,False,0.0,0.0,1,background-stream,2026-03-30T02:41:03.780605,MEDIUM,0.776541,0.128903,,0
4,CASH_IN,9408.28,28733.38,19325.1,582.96,9991.24,user-2029,merchant-658,0.2,False,False,True,False,False,0,0,7,34,False,0.0,0.0,0,background-stream,2026-03-30T02:41:06.055237,LOW,0.065,0.212017,,0
23,CASH_OUT,2171.93,8106.24,5934.31,8741.09,10913.02,user-8079,merchant-548,0.2,False,False,True,False,False,0,0,2,22,False,0.0,0.0,0,background-stream,2026-03-30T02:41:08.303237,MEDIUM,0.765,0.187855,,0
22,DEBIT,450.29,3496.21,3045.92,11551.01,12001.3,user-6788,merchant-182,0.2,False,False,True,False,False,0,0,1,32,False,0.0,0.0,0,background-stream,2026-03-30T02:41:10.558338,MEDIUM,0.772954,0.131439,,0
4,DEBIT,2586.37,4054.97,1468.6,17916.64,20503.01,user-1023,merchant-965,0.25,False,False,True,False,False,0,0,6,29,False,0.0,0.0,1,background-stream,2026-03-30T02:41:12.808460,LOW,0.0675,0.181467,,0
3,PAYMENT,6438.3,23889.35,17451.05,12129.95,18568.25,user-3751,merchant-854,0.2,False,False,True,False,False,0,0,0,38,False,0.0,0.0,0,background-stream,2026-03-30T02:41:15.079999,LOW,0.065,0.265295,,0
23,PAYMENT,3007.94,3052.82,44.88,5938.19,8946.13,user-5307,merchant-274,0.2,False,False,True,False,False,0,0,2,30,False,0.0,0.0,0,background-stream,2026-03-30T02:41:17.321809,MEDIUM,0.765,0.233638,,0
13,CASH_IN,8110.16,24604.99,16494.83,16922.17,25032.33,user-9915,merchant-114,0.2,False,False,True,False,False,0,0,3,24,False,0.0,0.0,0,background-stream,2026-03-30T02:41:19.642391,MEDIUM,0.765017,0.14996,,0
19,CASH_OUT,2256.91,16561.93,14305.02,19053.08,21309.99,user-8742,merchant-712,0.25,False,False,True,False,False,0,0,2,37,False,0.0,0.0,1,background-stream,2026-03-30T02:41:21.890842,MEDIUM,0.7675,0.171294,,0
4,CASH_IN,2039.38,20820.21,18780.83,361.48,2400.86,user-7782,merchant-414,0.2,False,False,True,False,False,0,0,2,34,False,0.0,0.0,0,background-stream,2026-03-30T02:41:24.123022,LOW,0.065,0.21204,,0
1,CASH_IN,5896.38,20701.34,14804.96,17854.83,23751.21,user-3400,merchant-656,0.3,False,False,True,False,False,0,0,5,33,False,0.0,0.0,2,background-stream,2026-03-30T02:41:26.338496,LOW,0.07,0.21219,,0
17,CASH_IN,1894.32,16891.89,14997.57,8779.42,10673.74,user-6784,merchant-373,0.2,False,False,True,False,False,0,0,0,28,False,0.0,0.0,0,background-stream,2026-03-30T02:41:28.556468,MEDIUM,0.765,0.154085,,0
13,CASH_OUT,4411.29,18723.52,14312.23,13840.29,18251.58,user-9520,merchant-483,0.25,False,False,True,False,False,0,0,6,33,False,0.0,0.0,1,background-stream,2026-03-30T02:41:30.868784,MEDIUM,0.7675,0.164063,,0
10,CASH_OUT,241.35,1199.01,957.66,15945.27,16186.62,user-7734,merchant-882,0.2,False,False,True,False,False,0,0,4,37,False,0.0,0.0,0,background-stream,2026-03-30T02:41:33.107333,MEDIUM,0.765,0.199032,,0
8,TRANSFER,8106.89,10140.58,2033.69,7588.9,15695.79,user-6971,merchant-372,0.2,False,False,True,False,False,0,0,3,37,False,0.0,0.0,0,background-stream,2026-03-30T02:41:35.356391,MEDIUM,0.764999,0.208092,,0
20,CASH_IN,7767.6,10081.55,2313.95,1639.9,9407.5,user-6204,merchant-795,0.25,False,False,True,False,False,0,0,5,35,False,0.0,0.0,1,background-stream,2026-03-30T02:41:37.546473,MEDIUM,0.7675,0.162114,,0
17,PAYMENT,3858.83,10843.24,6984.41,40.28,3899.11,user-3236,merchant-270,0.2,False,False,True,False,False,0,0,4,28,False,0.0,0.0,0,background-stream,2026-03-30T02:41:39.780331,MEDIUM,0.765,0.215371,,0
24,DEBIT,6398.84,21464.31,15065.47,11017.5,17416.34,user-6351,merchant-999,0.2,False,False,True,False,False,0,0,1,31,False,0.0,0.0,0,background-stream,2026-03-30T02:41:42.091097,MEDIUM,0.765,0.153388,,0
22,CASH_OUT,2966.05,15729.92,12763.87,1246.82,4212.87,user-4774,merchant-167,0.2,False,False,True,False,False,0,0,2,20,False,0.0,0.0,0,background-stream,2026-03-30T02:41:44.352541,MEDIUM,0.765,0.177477,,0
17,CASH_IN,1846.18,19154.05,17307.87,7106.88,8953.06,user-8850,merchant-801,0.25,False,False,True,False,False,0,0,4,42,False,0.0,0.0,1,background-stream,2026-03-30T02:41:46.597283,MEDIUM,0.7675,0.154085,,0
18,CASH_OUT,4757.56,7784.92,3027.36,14957.78,19715.34,user-7607,merchant-414,0.2,False,False,True,False,False,0,0,3,35,False,0.0,0.0,0,background-stream,2026-03-30T02:41:48.820166,MEDIUM,0.765,0.175994,,0
3,CASH_IN,1142.67,13453.35,12310.68,17870.56,19013.23,user-4742,merchant-194,0.25,False,False,True,False,False,0,0,0,25,False,0.0,0.0,1,background-stream,2026-03-30T02:41:51.066902,LOW,0.0675,0.212139,,0
17,CASH_IN,2425.02,2681.19,256.17,14867.62,17292.64,user-7106,merchant-491,0.2,False,False,True,False,False,0,0,0,33,False,0.0,0.0,0,background-stream,2026-03-30T02:41:53.381150,MEDIUM,0.765,0.153975,,0
1,DEBIT,9944.9,29189.15,19244.25,6348.27,16293.17,user-8125,merchant-552,0.2,False,False,True,False,False,0,0,5,28,False,0.0,0.0,0,background-stream,2026-03-30T02:41:55.613302,LOW,0.065,0.18904,,0
18,CASH_IN,9593.27,17019.76,7426.49,7490.1,17083.37,user-1808,merchant-979,0.2,False,False,True,False,False,0,0,3,31,False,0.0,0.0,0,background-stream,2026-03-30T02:41:57.855322,MEDIUM,0.765,0.156859,,0
5,TRANSFER,3866.64,10618.71,6752.07,15179.38,19046.02,user-8306,merchant-765,0.2,False,False,True,False,False,0,0,4,34,False,0.0,0.0,0,background-stream,2026-03-30T02:42:00.121128,LOW,0.065,0.22657,,0
21,PAYMENT,910.23,11069.09,10158.86,1572.46,2482.69,user-6214,merchant-549,0.2,False,False,True,False,False,0,0,5,26,False,0.0,0.0,0,background-stream,2026-03-30T02:42:02.365290,MEDIUM,0.765,0.218078,,0
20,DEBIT,7445.71,9112.74,1667.03,19649.75,27095.46,user-7349,merchant-487,0.3,False,False,True,False,False,0,0,2,34,False,0.0,0.0,2,background-stream,2026-03-30T02:42:04.658986,MEDIUM,0.779569,0.127672,,0
4,CASH_OUT,381.52,2963.55,2582.03,10770.0,11151.52,user-3448,merchant-903,0.2,False,False,True,False,False,0,0,3,28,False,0.0,0.0,0,background-stream,2026-03-30T02:42:06.883703,LOW,0.084387,0.234878,,0
22,CASH_OUT,8219.54,24655.91,16436.37,1491.17,9710.71,user-3067,merchant-773,0.2,False,False,True,False,False,0,0,0,33,False,0.0,0.0,0,background-stream,2026-03-30T02:42:09.119348,MEDIUM,0.765,0.177001,,0
6,CASH_IN,7051.71,7352.44,300.73,5451.92,12503.63,user-3634,merchant-980,0.2,False,False,True,False,False,0,0,3,29,False,0.0,0.0,0,background-stream,2026-03-30T02:42:11.335036,LOW,0.065,0.216674,,0
